GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,IS_STARTER,EFF,TS_PCT,EFF_scaled,TS_PCT_scaled,MIN_scaled,IMPACT_SCORE
22400062,1610612750,MIN,Minnesota,203497,Rudy Gobert,Rudy,C,35.33,5.0,8.0,0.625,0.0,0.0,0.0,3.0,4.0,0.75,3.0,11.0,14.0,2.0,0.0,1.0,1.0,4.0,13.0,-10.0,1,25.0,0.6659836065573771,0.5686274509803921,0.6659836065573771,0.808055235903337,0.6696626331303711
22400062,1610612750,MIN,Minnesota,1630162,Anthony Edwards,Anthony,G,41.07,10.0,25.0,0.4,5.0,13.0,0.385,2.0,3.0,0.667,0.0,6.0,6.0,3.0,0.0,0.0,4.0,3.0,27.0,0.0,1,16.0,0.5129179331306991,0.39215686274509803,0.5129179331306991,0.9401611047180666,0.5927864564526689
22400062,1610612750,MIN,Minnesota,201144,Mike Conley,Mike,G,20.22,1.0,7.0,0.143,0.0,5.0,0.0,3.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,0.0,3.0,1.0,5.0,-22.0,1,3.0,0.3004807692307692,0.13725490196078433,0.3004807692307692,0.46029919447640955,0.2831359498964674
22400062,1610612750,MIN,Minnesota,1629675,Naz Reid,Naz,0,26.35,3.0,8.0,0.375,2.0,4.0,0.5,4.0,4.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,3.0,12.0,-6.0,0,11.0,0.6147540983606558,0.29411764705882354,0.6147540983606558,0.6013808975834292,0.4824875576067549
22400062,1610612750,MIN,Minnesota,1628978,Donte DiVincenzo,Donte,0,31.55,3.0,11.0,0.273,2.0,8.0,0.25,2.0,4.0,0.5,1.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,10.0,-5.0,0,7.0,0.39184952978056425,0.21568627450980393,0.39184952978056425,0.7210586881472957,0.42014697518227956
22400062,1610612750,MIN,Minnesota,1629638,Nickeil Alexander-Walker,Nickeil,0,28.37,5.0,7.0,0.714,3.0,4.0,0.75,1.0,2.0,0.5,2.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,14.0,13.0,0,14.0,0.8883248730964467,0.35294117647058826,0.8883248730964467,0.6478711162255465,0.6020352673848333
22400062,1610612750,MIN,Minnesota,204060,Joe Ingles,Joe,0,6.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0784313725490196,0.0,0.15143843498273876,0.07680407951442947
22400062,1610612747,LAL,Los Angeles,1629060,Rui Hachimura,Rui,F,35.08,7.0,14.0,0.5,1.0,4.0,0.25,3.0,4.0,0.75,3.0,2.0,5.0,1.0,2.0,1.0,0.0,2.0,18.0,19.0,1,19.0,0.5710659898477157,0.45098039215686275,0.5710659898477157,0.8023014959723819,0.5924024026087744
22400062,1610612747,LAL,Los Angeles,2544,LeBron James,LeBron,F,34.65,7.0,16.0,0.438,1.0,4.0,0.25,1.0,1.0,1.0,0.0,5.0,5.0,4.0,0.0,2.0,2.0,3.0,16.0,-6.0,1,16.0,0.48661800486618,0.39215686274509803,0.48661800486618,0.7924050632911391,0.540569665545235
22400062,1610612747,LAL,Los Angeles,203076,Anthony Davis,Anthony,C,37.58,11.0,23.0,0.478,1.0,3.0,0.333,13.0,15.0,0.867,3.0,13.0,16.0,4.0,1.0,3.0,1.0,1.0,36.0,1.0,1,45.0,0.6081081081081081,0.9607843137254901,0.6081081081081081,0.8598388952819331,0.8246978265072085
